,dba_name,Inspection Count,Upgraded,Downgraded,Fail,Pass
0,101 CLUB,6,3,3,3,3
1,2 P'S SMOKE SHOP,1,1,0,0,1
2,"24/7 EXPRESS MART, INC.",1,1,0,0,1
3,312 Chicago,1,0,1,0,1
4,540 CAFE,1,0,1,1,0
5,63RD AND DREXEL MOBIL,1,0,1,0,1
6,67TH MART,1,1,0,0,1
7,7 ELEVEN #33726A,1,1,0,0,1
8,7 ELEVEN #33729A,1,0,1,1,0
9,79TH CORNER STORE,1,0,1,1,0
10,9 MUSES BAR & GRILL,1,1,0,0,1
11,91st South Chicago Apts.,1,0,1,1,0
12,A HAVEN FOR LITTLE ONES 2 CHILDREN LEARNING CENTER,1,0,1,0,1
13,A TASTE OF HEAVEN,2,2,0,1,1
14,A TASTE OF THE PHILIPPINES,1,0,1,1,0
15,A TAVOLA,1,0,1,0,1
16,A-1 FOOD,1,0,1,1,0
17,A-MORE,2,1,1,1,1
18,ABOOD FOOD MARKET INC.,1,0,1,1,0
19,AFC SUSHI @ JEWEL OSCO  #3082,1,1,0,0,1
20,AFC Sushi @ Jewel Osco #3407,1,1,0,0,1
21,AHM WIRELESS,1,0,1,1,0
22,AIN'T SHE SWEET CAFE,2,0,2,1,1
23,"ALBANY PARK COMMUNITY CENTER,INCORPORATED",2,1,1,1,1
24,ALL TOGETHER NOW,1,0,1,1,0
25,ALLISON'S INFANT & TODDLER CENTER,1,1,0,0,1
26,AMERICA'S DOG,1,1,0,0,1
27,AMERICANA SUBMARINE,1,0,1,0,1
28,ANM FOOD MART,1,0,1,1,0
29,APPLE SPICE BOX LUNCH DELIVERY AND CATERING CO.,1,1,0,0,1
30,ARAMI/WOODGRAIN,1,0,1,0,1
31,ARTEMIO'S BAKERY,2,0,2,1,1
32,ARTEMIO'S BAKERY #2,2,1,1,1,1
33,"ARTOPOLIS BAKERY, CAFE & ANGOR",1,0,1,1,0
34,ASADOR BASTIAN,2,2,0,1,1
35,ASPIRA HAUGAN,2,1,1,1,1
36,ATWOOD,2,2,0,1,1
37,AUNT MARTHA'S,1,1,0,0,1
38,AUSTIN MULTIPLEX HIGH SCHOOL,1,1,0,1,0
39,AVEC II,2,1,1,2,0
40,AVEC III,1,0,1,1,0
41,AVEC RIVER NORTH / BAR AVEC,3,1,2,0,3
42,AVENUE TAP & KITCHEN,1,1,0,0,1
43,"AZTEC DAVE'S TEQUILA BAR & GRILL, INC.",1,1,0,0,1
44,BABA PITA,1,0,1,1,0
45,BABA'S FAMOUS STEAK AND LEMONADE,1,0,1,0,1
46,BACINO'S OF LINCOLN PARK LTD,2,1,1,1,1
47,BACKLOT COFFEE,2,0,2,1,1
48,BACON & JAM,2,0,2,1,1
49,BANH MI & CO.,1,0,1,0,1
50,BAR SIENA,1,0,1,0,1
51,BARRIO,2,0,2,2,0
52,BARRIO / BODEGA,1,0,1,1,0
53,BATTER & BERRIES LLC,1,0,1,1,0
54,BAYAN KO DINER,1,1,0,0,1
55,BEGGARS PIZZA,1,0,1,0,1
56,"BEIJING 88, INC",1,1,0,1,0
57,BELLAS FUENTEZ,1,0,1,1,0
58,BEN-YAY!,1,0,1,0,1
59,BERGHOFF'S,1,0,1,1,0
60,BEST SOUTHSIDE GYRO,1,0,1,0,1
61,BEVERLY BAKERY INC,1,0,1,0,1
62,"BIG RAYS GRILL, INC.",1,1,0,1,0
63,BIG SHOULDERS COFFEE,1,1,0,0,1
64,BIG STAR MARISCOS,1,0,1,0,1
65,BIG TONY'S,1,0,1,1,0
66,BILLY GOAT TAVERN & GRILL,1,0,1,0,1
67,BISTRO 6050 ASIAN-LATINO EXPRESS,1,0,1,0,1
68,BITTER POPS,1,1,0,0,1
69,BLACKWOOD BBQ,2,1,1,1,1
70,BOBOS MARKET INC.,2,0,2,1,1
71,BODEGA TAQUERIA Y TEQUILA,2,2,0,1,1
72,BONNE SANTE HEALTH FOODS INC.,1,1,0,0,1
73,BOSTON MARKET #2520,1,0,1,1,0
74,BOX LUNCH CAFE,1,0,1,1,0
75,BOXCAR BETTY'S,1,1,0,0,1
76,BP AMOCO,1,0,1,1,0
77,BRIGHTON PARK SCHOOL,1,1,0,0,1
78,BROADWAY CAFE,1,0,1,0,1
79,BRODYS HOUSE OF COOKED FISH & CHICKEN,2,0,2,2,0
80,BRYN MAWR BREAKFAST CLUB,1,0,1,1,0
81,BUFFET CITY,1,1,0,0,1
82,BURGER BOY EXPRESS INC.,2,1,1,1,1
83,BURGER KING #25272,2,1,1,1,1
84,BURGER KING #5818,3,1,2,2,1
85,BURRITO BEACH,1,1,0,1,0
86,BYRD'S HOT CHICKEN,2,1,1,1,1
87,Bowen H/S,1,0,1,1,0
88,Bramble Art Lofts,1,0,1,1,0
89,CAFE EL TAPATIO,1,0,1,1,0
90,CAFE ISTANBUL,2,1,1,1,1
91,CAFE SELMARIE,3,0,3,2,1
92,CAFECITO,1,0,1,1,0
93,CAN'T BELIEVE IT'S NOT MEAT,1,1,0,0,1
94,CARBON ON CHICAGO,1,1,0,0,1
95,CARIBBEAN JERK JOINT,1,1,0,0,1
96,CARRIBEAN JERK PALACE,1,1,0,1,0
97,CC STOP SHOP DISCOUNT,2,1,1,1,1
98,CECINA Y MARISCOS,2,0,2,2,0
99,CECY'S MOLINO DE MASA,2,1,1,1,1
100,CELLARS MARKET,2,0,2,1,1
101,"CENTERS FOR NEW HORIZONS,INC",1,0,1,1,0
102,CENTRAL EAST ASIAN CUISINE,2,2,0,1,1
103,CENTRAL PARK FRESH MARKET,1,0,1,0,1
104,CHARLES CARROLL ELEMENTARY,1,1,0,0,1
105,CHARLES KIMBALL,1,1,0,0,1
106,CHE THAI LLC,1,1,0,0,1
107,CHEBA HUT,2,2,0,1,1
108,CHEMISTRY,1,0,1,1,0
109,CHI ISLAND SMOOTHIE BAR,1,0,1,0,1
110,CHICAGO DOWNTOWN MARRIOTT,1,1,0,0,1
111,"CHICAGO EMPANADA MAMA, LLC",1,0,1,0,1
112,CHICAGO EXCEL CAMELOT ACADEMY,1,0,1,0,1
113,CHICAGO LUNCHBOX,2,1,1,1,1
114,CHICAGO NO SAUCE BOSS,1,0,1,1,0
115,CHICAGO PICKLE EATERY,1,0,1,1,0
116,CHICAGO SMOKE LTD,1,1,0,0,1
117,CHICAGO'S HOME OF CHICKEN & WAFFLES,1,0,1,0,1
118,CHICK-FIL-A  LOYOLA WATER TOWER,1,1,0,0,1
119,CHICK-FIL-A FORD CITY,1,0,1,1,0
120,CHICK-FIL-A IL MEDICAL DISTRICT,2,0,2,1,1
121,CHIKIS,1,0,1,1,0
122,CHILANGO,1,1,0,0,1
123,CHILDREN'S WORLD,1,0,1,0,1
124,CHINA CAFE,2,0,2,1,1
125,CHINA CITY,1,0,1,0,1
126,CHIP CITY,2,2,0,2,0
127,CHIPOTLE MEXICAN GRILL,3,0,3,0,3
128,CHIPOTLE MEXICAN GRILL #2796,1,0,1,0,1
129,CHIPOTLE MEXICAN GRILL #2923,1,1,0,1,0
130,CHIPOTLE MEXICAN GRILL #3367,2,2,0,1,1
131,CHIPOTLE MEXICAN GRILL #4019,1,1,0,0,1
132,CHOLIES PIZZERIA INC.,1,1,0,0,1
133,CHRIST THE KING JESUIT COLLEGE PREPARATORY SCHOOL,1,0,1,0,1
134,CHRISTIAN L-E-G EARLY LEARNING CENTER,1,0,1,0,1
135,CICERO & NORTH LIQUORS,1,0,1,1,0
136,CIELO'S CANTINA,1,1,0,0,1
137,CITY BIRD TENDERS,1,1,0,0,1
138,CJP  IL INC,2,1,1,1,1
139,"CLARK CATERING, INC.",1,0,1,1,0
140,CLUCK'N WINGS,1,1,0,0,1
141,COACHING WITH LOVE INC.,1,1,0,0,1
142,COCO'S FAMOUS FRIED LOBSTER,1,0,1,1,0
143,COMMUNITY CREAMERY,1,0,1,0,1
144,CONCINA ECONOMICA,1,0,1,0,1
145,CONNIE'S PIZZA MDW,1,0,1,0,1
146,CORRIDOR BREWERY AND PROVISIONS,2,1,1,1,1
147,CREATIVE KIDS DAYCARE CENTER #2,1,0,1,0,1
148,"CREATIVE LITTLE ONES CHILD CARE, INC",1,0,1,0,1
149,CRUMBL COOKIES,1,1,0,0,1
150,CRUSHED BY GIANT,1,0,1,1,0
151,CUBBY BEAR LOUNGE LTD,1,1,0,1,0
152,CULVER'S OF MIDWAY,1,0,1,1,0
153,Capriotti's Sandwich Shop,1,1,0,0,1
154,Carver Military Academy,2,1,1,1,1
155,Chgo Voc. C.V.C  (H/S),2,0,2,1,1
156,Chicago Agricultural  (H/S),1,1,0,0,1
157,Chipotle Mexican Grill #4272,1,0,1,1,0
158,Christopher School,1,0,1,0,1
159,Clay,1,0,1,1,0
160,Corner Bakery Cafe,1,0,1,1,0
161,Costco Wholesale # 380,1,0,1,1,0
162,Cullen,1,0,1,0,1
163,"DALIA'S BUSY BEE ACADEMY, INC.",1,0,1,0,1
164,DAMON & 55TH MARKET,1,0,1,1,0
165,DAWSON,1,1,0,1,0
166,DENIEKE HOWARD,1,1,0,0,1
167,DEVIL DAWGS GOLD COAST,1,0,1,1,0
168,DO-RITE DONUT KIOSK,1,0,1,1,0
169,DODOMI SUSHI ROTARY,1,0,1,1,0
170,DOLCI AMORI,1,0,1,1,0
171,DOLLS KITCHEN AND CATERING LLC,1,0,1,1,0
172,DRAFT KINGS FANTASY SPORTS BAR,1,0,1,1,0
173,DSTRKT BAR & GRILL,2,1,1,2,0
174,DUNKIN DONUTS,4,1,3,1,3
175,DUNKIN DONUTS /M BURGER/ /BEECHERS/ WHITE SOX,1,0,1,0,1
176,DURKIN ELEMENTARY,1,0,1,1,0
177,DURKIN PARK ANNEX,1,0,1,1,0
178,DePriest Elementary,1,0,1,0,1
179,EARLY ACHIEVERS ACADEMY,1,0,1,0,1
180,EASTER SEALS METROPOLITAN CHICAGO INC.,2,0,2,1,1
181,EGGS INC. CAFE,1,0,1,1,0
182,EGGSPERIENCE,1,0,1,1,0
183,EGGSPERIENCE IN LAKEVIEW,1,0,1,0,1
184,EL BURRITO MEXICANO,1,0,1,0,1
185,EL CABALLO LOCCO,4,1,3,2,2
186,EL CABRITO,1,0,1,1,0
187,EL CANGREJO GUAYACO LLC,2,1,1,0,2
188,EL CHISME,1,0,1,1,0
189,EL CHURRITO ROJAS INC.,1,0,1,1,0
190,EL HEFE,1,0,1,1,0
191,EL PRESIDENTE RESTAURANT,2,1,1,1,1
192,EL RINCON DE MEXICO,1,0,1,0,1
193,EL TACO AZTECA BRIDGEPORT,2,0,2,2,0
194,EL TACONZAZO,1,0,1,1,0
195,EL TEXCAL RESTAURANT,1,0,1,0,1
196,ELAINE'S CHOP SUEY 1,1,0,1,1,0
197,ELSTON MARKET,1,0,1,1,0
198,EMILIANO ZAPATA ACADEMY,1,0,1,1,0
199,ETTA,2,0,2,1,1
200,EUREST DINING SERVICES,1,0,1,1,0
