,dba_name,Inspection Count,Upgraded,Downgraded,Fail,Pass
0,"#1 CHINA EXPRESS, LTD.",2,1,1,1,1
1,#1 CHOP SUEY,41,21,20,17,24
2,"#1 CHOP SUEY RESTAURANT, INC",5,3,2,2,3
3,#1 DELI,2,1,1,2,0
4,"#1 DELI, INC",8,4,4,5,3
5,#1 MARKET INC.,2,0,2,2,0
6,#1 WOK N ROLL,23,12,11,11,12
7,'C' A CATERING AND EVENT COMPANY,17,4,13,7,10
8,'GENGHIS' EATERY,3,2,1,2,1
9,'LAINE'S BAKE SHOP,4,1,3,2,2
10,(K)  NEW  RESTAURANT,3,1,2,1,2
11,1 2 3 EXPRESS,3,2,1,1,2
12,1 FISH 2 FISH,6,1,5,5,1
13,"1 JACKPOT MINI MART, INC.",2,2,0,0,2
14,1 KARACHI CHAAT HOUSE,2,1,1,2,0
15,1 N WACKER KITCHEN AND BAR,9,2,7,4,5
16,1 STOP  FOOD MART,2,0,2,1,1
17,1 STOP & SHOP INC.,4,2,2,3,1
18,"1,200 SQ.FT. - YEMEN RESTAURANT, INC.",15,6,9,5,10
19,"1,4,3,7 SOUL RESTAURANT",3,0,3,3,0
20,1-94 RIBS & GRILL,6,0,6,4,2
21,10 PIN  BOWLING LOUNGE,16,5,11,9,7
22,10 SOUTH MARKET,2,1,1,1,1
23,100 PENNIES STORE,2,0,2,1,1
24,1000 LIQUORS / BIG CITY TAP,18,9,9,11,7
25,101 CLUB,6,3,3,3,3
26,"103 CHICKEN & MORE, INC.",2,0,2,1,1
27,1053 W 103RD INC,3,1,2,2,1
28,10Q CHICKEN,2,0,2,2,0
29,11 DEGREES NORTH,13,4,9,8,5
30,11 DINING,28,9,19,16,12
31,"11 DINING, LLC",17,4,13,8,9
32,"11 DINING,LLC",5,0,5,4,1
33,11 DINNING,7,1,6,4,3
34,1104 WABASH,5,2,3,3,2
35,111 COFFEE BAR,8,5,3,6,2
36,111 MEXICAN GRILL,8,3,5,4,4
37,"111 TH FOOD & CELLULAR, INC",15,6,9,9,6
38,"111TH AND RACINE MARATHON, INC.",4,1,3,2,2
39,"111TH FOOD MART, INC.",7,4,3,5,2
40,111TH STREET CLARK,2,0,2,1,1
41,111TH STREET OTB,15,7,8,7,8
42,111th STREET SUPER SAVE,2,0,2,1,1
43,1154 FULTON MARKET,3,0,3,2,1
44,1155 CAFETERIA,9,6,3,1,8
45,118TH STREET MARKET,3,0,3,2,1
46,12 WEST ELM,2,1,1,1,1
47,1200 GRILL,5,3,2,3,2
48,1200 Herb'N Deli,3,0,3,2,1
49,"1200 JES FUELS,INC",5,1,4,4,1
50,123 CONCESSION SHOP,2,0,2,1,1
51,123 FOOD,4,1,3,3,1
52,123 GROCERY PLUS,6,3,3,3,3
53,123 MINI MART,5,2,3,3,2
54,"1234 BBQ RIBS INC.,",6,3,3,3,3
55,1250 SOUTH LLC,6,2,4,3,3
56,13 Pins Tapas & Grill,21,8,13,14,7
57,1308,3,0,3,3,0
58,1350 LAKE SHORE DR. COMMISSARY,9,6,3,2,7
59,14 PARISH,16,8,8,9,7
60,"14 W. HUBBARD, LLC",7,4,3,3,4
61,1400 MARKET PLACE,14,5,9,5,9
62,1415,3,2,1,2,1
63,143 Seven Food Mart,3,0,3,2,1
64,1492 CUBAN FUSION INC,14,5,9,9,5
65,1492 TAPAS,5,2,3,3,2
66,15 / 20 LOUNGE,13,5,8,8,5
67,15TH STREET FOOD MART INC.,14,5,9,9,5
68,1637 WEST NORTH BAR & LOUNGE,2,0,2,2,0
69,16TH & MILLARD FOOD,7,3,4,4,3
70,16TH EXPRESS MART,2,1,1,1,1
71,16TH MART,5,1,4,2,3
72,16TH ST FOOD MART,7,4,3,3,4
73,175 SOPRAFFINA MARKET CAFFE LLC,17,7,10,4,13
74,1800 LIQUORS,4,0,4,2,2
75,18TH STREET FOOD MART,7,2,5,5,2
76,19 EAST,3,2,1,1,2
77,19 PAUL,10,2,8,6,4
78,19 PULASKI,2,1,1,1,1
79,1914 CLUB,9,4,5,3,6
80,1931 RESTAURANT,5,0,5,3,2
81,194  RIB  JOYNT,9,3,6,7,2
82,19TH ST FOOD MART,3,0,3,2,1
83,1ST CHOP SUEY,25,7,18,11,14
84,1ST FRUITS ACADEMY INC,6,2,4,5,1
85,1ST UNITED METHODIST CHURCH OF CHICAGO AID SOCIETY,9,2,7,2,7
86,1UP FOOD ARACADE,3,0,3,3,0
87,"1st HUNAN SPRING, INC",12,4,8,5,7
88,2 ASIAN BROTHERS,20,6,14,12,8
89,2 BIG SHARKS FISH & CHICKEN,2,0,2,1,1
90,"2 BROTHERS FOOD MART, INC",3,0,3,1,2
91,2 PLUS,6,3,3,4,2
92,2 POTZ & A PAN EATERY,6,1,5,6,0
93,2 SPARROWS,8,4,4,4,4
94,2 TWENTY 2 TAVERN,6,3,3,5,1
