,dba_name,Inspection Count,Upgraded,Downgraded,Fail,Pass
0,1308 CHICAGO,1,1,0,1,0
1,14 PARISH,1,1,0,0,1
2,360 CHICAGO,2,1,1,1,1
3,"59TH FISH & CHICKEN, INC.",1,0,1,1,0
4,87TH STREET JERK & SEAFOOD MARKET,2,1,1,2,0
5,A. J. HUDSON'S PUBLIC HOUSE,1,0,1,1,0
6,AMC THEATRES RIVER EAST 21,1,1,0,1,0
7,AMORINO GELATO AL NATURALE,1,1,0,1,0
8,ARAMARK,4,2,2,2,2
9,ARAMARK @ LOYOLA GREEN,1,1,0,0,1
10,"ARAMARK EDUCATIONAL SERVICES, INC",1,0,1,0,1
11,AREPA GEORGE CANTINA,1,1,0,0,1
12,ARTANGO BAR AND STEAKHOUSE,1,0,1,1,0
13,ARZAN MARKET & CAFE,2,0,2,2,0
14,ASIAN GARDEN,2,1,1,1,1
15,ATHENA RESTAURANT,1,1,0,1,0
16,AUNTIE ANNE'S PRETZEL,2,1,1,1,1
17,AVEC,1,0,1,0,1
18,BAGEL MILLER,1,0,1,1,0
19,BAMBU,1,1,0,0,1
20,BANGKOK THAI CUISINE,1,0,1,1,0
21,BARRACO'S PIZZA AND THE VINEYARD BANQUETS,2,1,1,0,2
22,BARTOLI'S PIZZERIA,1,0,1,0,1
23,BARWAQO RESTAURANT,1,0,1,0,1
24,BAYAN KO,1,0,1,1,0
25,BEAR NAKED SOCIAL,4,2,2,2,2
26,BEN'S NOODLES & RICE,1,0,1,0,1
27,BENJYEHUDA,1,1,0,1,0
28,BEREKET,1,1,0,0,1
29,BEST BAR,1,1,0,0,1
30,BEST SUB,1,1,0,0,1
31,BETTER BOY,1,1,0,0,1
32,BIG BOSS SPICY FRIED CHICKEN,2,1,1,1,1
33,BIRD'S NEST,1,0,1,0,1
34,BIRDMAN RAMEN,1,1,0,1,0
35,BIRRIERA ZARAGOZA,1,0,1,1,0
36,BISTRO 6050 ASIAN-LATINO EXPRESS,1,1,0,1,0
37,BLUE AGAVE TEQUILA BAR & RESTAURANT,1,0,1,1,0
38,BOBA HEAVEN CHICAGO INC.,1,0,1,0,1
39,BODEGA TAQUERIA Y TEQUILA - RN,2,0,2,2,0
40,BODY ENERGY CLUB-GOLD COAST,1,1,0,0,1
41,BONCI ROMAN STYLE PIZZARIA,1,1,0,0,1
42,BOND COFFEE COLLECTIVE L3C,1,0,1,1,0
43,BOONIE FOODS LLC,1,0,1,0,1
44,BORDEAUX LOUNGE BY TURQUOISE,1,1,0,1,0
45,BOSS BAR,2,0,2,1,1
46,BQ AFROROOT CUISINE,3,1,2,1,2
47,BRINDILLE,1,0,1,1,0
48,"BROTHER'S SUBMARINE & CHICKEN, INC.",2,0,2,1,1
49,BROWN BAG SEAFOOD COMPANY,1,1,0,0,1
50,BROWNSTONE TAVERN & GRILL,1,1,0,1,0
51,BUFFALO WILD WINGS GRILL & BAR,1,1,0,1,0
52,BUFFET CITY,2,1,1,1,1
53,BURGER BAR CHICAGO,1,0,1,1,0
54,BURGER KING,2,0,2,1,1
55,BURGER KING # 1338,1,1,0,0,1
56,BURGER KING #12371,1,0,1,0,1
57,BURGER KING #1250,1,0,1,0,1
58,BURGER KING #1308,1,1,0,0,1
59,BURGER KING #22995,1,0,1,0,1
60,BYTE CAFE,1,1,0,0,1
61,CAFE 47,1,0,1,1,0
62,CAFE ALIF,1,1,0,0,1
63,CAFE DEKO,1,1,0,0,1
64,CAJUN SHRIMP AND GUMBO,1,1,0,0,1
65,CANTINA ON MADISON,1,0,1,0,1
66,CAPTAIN SHRIMP INC.,1,0,1,1,0
67,CARIBBEAN JERK PLACE II,1,0,1,1,0
68,CARNITAS EL OJON ESTILO MICHOACAN,1,0,1,0,1
69,CARVER 47,1,0,1,0,1
70,CASA TEQUILA,2,1,1,1,1
71,CELESTE & DISCO,1,0,1,0,1
72,CENTRAL NUTRITION,2,2,0,1,1
73,CH DISTILLERY,1,0,1,1,0
74,CHALET CHICAGO,1,0,1,1,0
75,CHARLEY'S CHEESESTEAKS AND WINGS,1,0,1,1,0
76,CHEBA HUT,1,0,1,1,0
77,CHEN'S GARDEN,1,0,1,0,1
78,CHEN'S GARDEN EXPRESS,1,1,0,0,1
79,CHENGDU IMPRESSION SICHUAN RESTAURANT,2,0,2,2,0
80,CHICAGO EATS SWEET HONEY TEA & LEMONADE,1,1,0,0,1
81,CHICAGO EXPRESS GRILL,1,1,0,0,1
82,CHICAGO WINGS AROUND THE WORLD,1,1,0,0,1
83,CHICAGO'S HOME OF CHICKEN & WAFFLES,1,1,0,0,1
84,CHICK-FIL-A (T5/M9),1,0,1,0,1
85,CHINESE KITCHEN AND SUSHI,2,0,2,1,1
86,CHIP CITY,1,0,1,1,0
87,CHIPOTLE MEXICAN GRILL,1,1,0,0,1
88,CHURCH'S CHICKEN # 577,3,1,2,2,1
